id,event_id,package_id,service_id,vibe,venue,guests,provider_id,customer_id,status,request_date,location,start_time,end_time,duration,budget,special_instructions,cancel_reasons,created_at,updated_at,rating,reviews
1020,wedding,no,"service10149,service10164,service10112,service10113,service10090",friends,indoor,780,10068,10020,pending,2023-09-17t15:26:25.042623,hyderabad,2024-05-04t21:40:25.042623,2024-04-08t15:39:25.042623,10,69684,no,"due to unexpected personal commitments, details are being re-evaluated by stakeholders.
note: unexpected family issues.",2023-06-23t18:57:25.042623,2024-04-19t11:59:25.042623,4,the event was delayed by hours. complete chaos.
1021,wedding,no,"service10043,service10141,service10084,service10147,service10083,service10123,service10156,service10024",friends,indoor,462,10156,10071,booked,2024-12-04t17:43:25.042623,delhi,2023-11-12t16:34:25.042623,2024-05-25t09:49:25.042623,4,57032,no,"owing to budget constraints, a reschedule might happen later.
note: event got postponed.",2023-07-10t01:58:25.042623,2023-10-11t21:30:25.042623,1,decorations were late and poorly done. not worth the money.
1022,wedding,package10094,"n,o",friends,indoor,215,10100,10032,cancelled,2023-08-16t03:19:25.042623,mumbai,2024-04-11t10:41:25.042623,2023-09-19t07:43:25.042623,5,32444,['decorations were late and poorly done. not worth the money.'],"unexpected family issues, we will reach out when ready to rebook.
note: unexpected family issues.",2024-09-25t12:36:25.042623,2025-03-30t21:27:25.042623,4,highly satisfied with the service. would definitely book again.
1023,birthday,no,"service10118,service10067,service10014,service10198,service10134,service10047",family,indoor,910,10054,10124,completed,2024-03-15t11:34:25.042623,mumbai,2023-06-12t13:56:25.042623,2024-07-08t10:57:25.042623,8,17957,"['nothing extraordinary, but not bad either. guests were satisfied.']","owing to budget constraints, a reschedule might happen later.
note: we had to move the event location.",2023-07-19t17:32:25.042623,2024-02-07t08:19:25.042623,1,the event was well organized. food and music were amazing!
1024,wedding,package10119,"n,o",friends,outdoor,225,10196,10042,booked,2025-02-20t18:13:25.042623,hyderabad,2023-10-18t12:07:25.042623,2023-11-20t22:13:25.042623,1,24646,['venue was clean and beautifully decorated. superb experience overall.'],"we had to move the event location, we are no longer able to proceed with the booking.
note: we had to move the event location.",2024-06-11t18:03:25.042623,2025-02-06t09:13:25.042623,4,food was average. service was prompt though.
1025,wedding,no,"service10146,service10120,service10013,service10121,service10157,service10107",friends,outdoor,159,10175,10020,completed,2025-03-10t20:37:25.042623,mumbai,2024-04-05t05:12:25.042623,2024-09-05t11:06:25.042623,6,88277,['the event was well organized. food and music were amazing!'],"owing to budget constraints, the guest list drastically changed.",2024-07-08t09:12:25.042623,2025-05-27t19:02:25.042623,1,decorations were decent. could have been more colorful.
1026,birthday,no,"service10135,service10158,service10167,service10043,service10012,service10113,service10084,service10108,service10139,service10021",youthful,indoor,949,10109,10044,pending,2023-10-16t17:31:25.042623,delhi,2024-04-16t07:24:25.042623,2024-08-15t05:57:25.042623,7,40751,['unprofessional staff. would not recommend to anyone.'],"venue is no longer available, a reschedule might happen later.
note: venue is no longer available.",2025-01-04t02:49:25.042623,2024-10-02t02:10:25.042623,1,food was cold and stale. guests were unhappy.
1027,birthday,no,"service10187,service10107,service10122,service10089,service10084,service10050,service10106,service10164",youthful,outdoor,679,10113,10077,cancelled,2023-12-05t19:25:25.043623,hyderabad,2023-08-09t12:05:25.043623,2023-09-17t19:38:25.043623,10,85318,no,"event got postponed, we have to pause all related activities for now.",2024-07-11t16:14:25.043623,2024-01-30t14:36:25.043623,2,lighting was a bit dim. still a good evening overall.
1028,birthday,package10176,"n,o",youthful,indoor,136,10043,10169,booked,2024-03-21t07:51:25.043623,delhi,2024-03-05t02:12:25.043623,2024-01-13t03:40:25.043623,9,84784,no,"due to scheduling conflicts, we have to pause all related activities for now.
note: unexpected family issues.",2024-11-16t06:40:25.043623,2024-09-19t14:33:25.043623,3,very disappointing service. nothing went as planned.
1029,birthday,no,"service10121,service10182",family,outdoor,943,10184,10190,cancelled,2024-10-04t12:43:25.043623,hyderabad,2025-01-13t13:42:25.043623,2024-10-01t22:38:25.043623,1,36612,['highly satisfied with the service. would definitely book again.'],"because of a medical emergency, event got merged with another celebration.
note: event got postponed.",2025-05-09t06:07:25.043623,2023-08-13t11:25:25.043623,2,the event was well organized. food and music were amazing!
1030,wedding,no,"service10158,service10141,service10108,service10161,service10143,service10045,service10192,service10116,service10072",family,indoor,908,10137,10042,completed,2023-09-26t20:26:25.043623,hyderabad,2024-02-18t23:11:25.043623,2024-02-06t11:08:25.043623,9,42934,['the event was delayed by hours. complete chaos.'],"we had to move the event location, we will reach out when ready to rebook.
note: due to unexpected personal commitments.",2023-11-28t17:53:25.043623,2024-10-27t20:12:25.043623,4,worst experience ever. regret booking with them.
1031,wedding,package10157,"n,o",youthful,outdoor,50,10091,10042,completed,2023-07-21t03:10:25.043623,mumbai,2024-05-08t12:39:25.043623,2024-11-17t23:59:25.043623,4,78344,['ambience was neutral. just okay vibes.'],"due to unexpected personal commitments, event got merged with another celebration.",2024-05-08t20:58:25.043623,2024-04-22t07:03:25.043623,5,the food was a big hit. so many guests asked for the caterer’s details.
1032,wedding,no,service10147,youthful,outdoor,568,10079,10169,booked,2023-06-16t03:29:25.043623,hyderabad,2024-12-13t16:21:25.043623,2024-06-14t12:43:25.043623,2,93219,['the food was a big hit. so many guests asked for the caterer’s details.'],"due to scheduling conflicts, event got merged with another celebration.
note: as travel plans have changed.",2025-03-07t20:25:25.043623,2025-02-16t02:23:25.043623,3,event started on time. nothing much to complain about.
1033,birthday,package10157,"n,o",youthful,indoor,749,10054,10138,cancelled,2024-05-30t13:28:25.043623,mumbai,2025-05-23t00:40:25.043623,2023-09-09t00:53:25.043623,10,59541,['very disappointing service. nothing went as planned.'],"owing to budget constraints, we need to cancel the event arrangements.
note: event got postponed.",2024-07-24t11:16:25.043623,2023-09-04t17:38:25.043623,4,venue was clean and beautifully decorated. superb experience overall.
1034,birthday,package10147,"n,o",youthful,outdoor,77,10195,10200,booked,2024-09-11t00:07:25.043623,mumbai,2023-06-12t14:45:25.043623,2025-02-14t23:12:25.043623,10,31994,no,"due to unexpected personal commitments, we will reach out when ready to rebook.
note: because of a medical emergency.",2024-09-06t02:54:25.043623,2024-01-21t11:38:25.043623,4,everything was just perfect! the decorations exceeded expectations.
1035,birthday,package10031,"n,o",family,outdoor,295,10079,10032,completed,2024-09-09t06:59:25.043623,hyderabad,2024-07-31t18:16:25.043623,2023-06-30t02:51:25.043623,10,96241,['food was average. service was prompt though.'],"as travel plans have changed, we need to cancel the event arrangements.
note: event got postponed.",2024-02-05t15:26:25.043623,2023-11-05t02:27:25.043623,1,ambience was neutral. just okay vibes.
1036,wedding,no,"service10145,service10164",youthful,outdoor,920,10072,10007,booked,2024-01-01t07:07:25.043623,hyderabad,2023-12-21t16:02:25.043623,2024-07-21t16:03:25.043623,7,91942,['ambience was neutral. just okay vibes.'],"due to scheduling conflicts, we are no longer able to proceed with the booking.
note: unexpected family issues.",2024-11-03t01:26:25.043623,2024-09-30t17:43:25.043623,2,basic expectations met. but lacked a wow factor.
1037,wedding,package10087,"n,o",family,indoor,75,10145,10069,pending,2024-03-16t13:50:25.044624,delhi,2025-02-20t06:06:25.044624,2024-03-22t18:19:25.044624,9,44685,no,"as travel plans have changed, a new organizer has taken over planning.
note: due to scheduling conflicts.",2024-09-30t09:02:25.044624,2025-04-01t05:59:25.044624,4,event started on time. nothing much to complain about.
1038,wedding,package10087,"n,o",friends,outdoor,589,10119,10197,booked,2024-02-27t10:14:25.044624,delhi,2025-04-11t18:52:25.044624,2024-06-17t05:11:25.044624,10,17876,['venue was clean and beautifully decorated. superb experience overall.'],"as travel plans have changed, event got merged with another celebration.
note: unexpected family issues.",2023-09-09t17:57:25.044624,2024-10-21t05:57:25.044624,3,lighting was a bit dim. still a good evening overall.
1039,wedding,no,"service10150,service10118,service10152,service10043,service10045,service10135,service10196",youthful,outdoor,456,10012,10020,pending,2024-12-20t07:11:25.044624,hyderabad,2023-07-09t09:41:25.044624,2024-10-29t06:55:25.044624,1,52315,no,"as travel plans have changed, a new organizer has taken over planning.
note: due to scheduling conflicts.",2024-03-11t21:10:25.044624,2024-07-25t01:10:25.044624,1,overpriced for such poor execution. utterly dissatisfied.
1040,wedding,no,"service10050,service10057,service10187,service10160,service10119,service10083,service10176,service10166",family,indoor,524,10029,10125,cancelled,2025-01-08t10:45:25.044624,hyderabad,2024-08-21t08:21:25.044624,2023-12-15t00:42:25.044624,8,91240,no,"due to unexpected personal commitments, we have to pause all related activities for now.
note: due to unexpected personal commitments.",2025-05-04t02:23:25.044624,2025-03-05t09:13:25.044624,3,professional staff and smooth coordination. loved every moment.
1041,birthday,no,"service10181,service10131,service10062,service10057,service10075",youthful,indoor,727,10015,10177,cancelled,2024-06-12t06:36:25.044624,mumbai,2025-02-21t00:31:25.044624,2024-05-26t11:41:25.044624,7,37827,no,"we had to move the event location, we are no longer able to proceed with the booking.",2024-07-30t22:26:25.044624,2024-05-09t15:28:25.044624,1,entertainment options were amazing! kids had so much fun.
1042,wedding,no,service10166,youthful,outdoor,368,10170,10138,cancelled,2024-10-27t16:46:25.044624,delhi,2023-10-28t11:53:25.044624,2025-05-21t01:17:25.044624,4,52483,no,"event got postponed, details are being re-evaluated by stakeholders.
note: because of a medical emergency.",2024-04-04t18:14:25.044624,2024-06-05t19:02:25.044624,4,basic expectations met. but lacked a wow factor.
1043,wedding,package10066,"n,o",friends,indoor,523,10196,10197,booked,2024-05-09t00:13:25.044624,mumbai,2024-09-18t23:15:25.044624,2023-08-06t18:59:25.044624,4,69144,no,"weather conditions are not favorable, an internal discussion delayed the decision.
note: owing to budget constraints.",2025-02-27t13:51:25.044624,2023-10-02t22:29:25.044624,5,unprofessional staff. would not recommend to anyone.
1044,wedding,no,"service10180,service10076,service10052,service10012,service10072,service10174,service10152",friends,indoor,527,10024,10124,booked,2023-12-15t01:20:25.044624,hyderabad,2024-11-11t20:08:25.044624,2023-12-28t08:29:25.044624,7,57125,no,"we had to move the event location, we will reach out when ready to rebook.",2025-03-17t08:50:25.044624,2023-08-24t18:32:25.044624,1,ambience was neutral. just okay vibes.
1045,birthday,no,"service10037,service10099,service10050,service10029,service10170,service10160,service10047,service10184,service10068",family,indoor,248,10079,10069,completed,2023-12-11t05:53:25.044624,hyderabad,2023-10-20t19:51:25.044624,2025-04-13t23:52:25.044624,2,69314,no,"unexpected family issues, details are being re-evaluated by stakeholders.
note: due to unexpected personal commitments.",2025-04-20t04:10:25.044624,2024-09-20t08:43:25.044624,1,decorations were late and poorly done. not worth the money.
1046,birthday,no,"service10040,service10174,service10152,service10075,service10143,service10129,service10134,service10050,service10024",friends,indoor,836,10037,10102,pending,2023-09-17t15:23:25.044624,mumbai,2024-07-13t06:30:25.044624,2023-06-09t05:02:25.044624,2,88318,no,"as travel plans have changed, we need to cancel the event arrangements.
note: weather conditions are not favorable.",2024-05-11t16:27:25.044624,2024-04-27t17:37:25.044624,5,food was cold and stale. guests were unhappy.
1047,birthday,package10024,"n,o",youthful,outdoor,413,10178,10148,completed,2024-06-04t06:41:25.044624,delhi,2024-01-02t11:34:25.044624,2024-09-01t06:56:25.045623,6,63744,no,"we had to move the event location, the guest list drastically changed.",2025-05-03t18:19:25.045623,2023-06-11t20:04:25.045623,1,it was an okay event. some things could have been better.
1048,birthday,package10136,"n,o",youthful,indoor,453,10062,10004,completed,2024-06-15t14:36:25.045623,hyderabad,2023-08-24t11:33:25.045623,2024-11-26t15:29:25.045623,2,26174,no,"owing to budget constraints, the guest list drastically changed.
note: due to scheduling conflicts.",2023-08-07t02:08:25.045623,2023-10-16t14:29:25.045623,1,lighting failed mid-event. embarrassing situation.
1049,birthday,no,"service10027,service10101",family,indoor,581,10195,10025,completed,2024-08-29t23:47:25.045623,delhi,2025-05-09t15:38:25.045623,2024-08-16t02:17:25.045623,7,50796,['venue was clean and beautifully decorated. superb experience overall.'],"as travel plans have changed, event got merged with another celebration.",2024-12-21t13:17:25.045623,2024-10-16t19:39:25.045623,3,food was cold and stale. guests were unhappy.
1050,birthday,no,"service10152,service10122,service10108",friends,outdoor,769,10121,10032,completed,2023-07-14t07:10:25.045623,hyderabad,2024-06-17t00:10:25.045623,2024-03-18t03:24:25.045623,6,59440,['entertainment options were amazing! kids had so much fun.'],"event got postponed, we need to cancel the event arrangements.
note: unexpected family issues.",2025-01-31t06:33:25.045623,2024-12-21t09:52:25.045623,1,unprofessional staff. would not recommend to anyone.
1051,birthday,package10083,"n,o",friends,indoor,930,10068,10185,booked,2025-05-12t01:18:25.045623,mumbai,2024-12-30t04:10:25.045623,2023-12-07t17:21:25.045623,9,54612,['the event was delayed by hours. complete chaos.'],"owing to budget constraints, a reschedule might happen later.
note: as travel plans have changed.",2024-04-13t23:31:25.045623,2023-07-30t19:52:25.045623,2,lighting failed mid-event. embarrassing situation.
1052,birthday,package10166,"n,o",friends,outdoor,701,10194,10177,pending,2023-08-01t01:51:25.045623,mumbai,2025-02-08t02:36:25.045623,2024-09-17t23:56:25.045623,6,53422,no,"owing to budget constraints, we need to cancel the event arrangements.
note: because of a medical emergency.",2023-11-29t14:14:25.045623,2024-03-19t01:16:25.045623,3,food was cold and stale. guests were unhappy.
1053,birthday,no,"service10043,service10099",youthful,outdoor,256,10012,10197,booked,2023-09-24t01:49:25.045623,delhi,2024-10-15t19:41:25.045623,2023-06-22t23:50:25.045623,7,89152,no,"event got postponed, an internal discussion delayed the decision.
note: due to scheduling conflicts.",2023-10-06t22:38:25.045623,2024-09-21t14:06:25.045623,5,food was average. service was prompt though.
1054,wedding,package10083,"n,o",youthful,outdoor,977,10187,10102,pending,2024-07-03t18:12:25.045623,hyderabad,2023-11-18t13:56:25.045623,2024-11-13t07:07:25.045623,1,93404,no,"weather conditions are not favorable, an internal discussion delayed the decision.
note: venue is no longer available.",2024-12-05t03:34:25.045623,2025-01-21t03:00:25.045623,3,"a regular experience. not too impressed, not too upset."
1055,wedding,no,"service10134,service10137",family,outdoor,206,10031,10124,cancelled,2024-03-21t19:39:25.045623,mumbai,2023-06-22t13:05:25.045623,2024-12-31t01:56:25.045623,2,51600,no,"owing to budget constraints, we are no longer able to proceed with the booking.",2024-09-25t10:47:25.045623,2024-08-20t06:55:25.045623,2,food was cold and stale. guests were unhappy.
1056,wedding,no,"service10149,service10154,service10135",youthful,indoor,964,10095,10070,completed,2023-07-19t14:38:25.045623,hyderabad,2023-10-30t00:51:25.045623,2024-07-03t05:16:25.045623,2,71459,['food was cold and stale. guests were unhappy.'],"we had to move the event location, a new organizer has taken over planning.
note: due to scheduling conflicts.",2023-10-03t15:50:25.045623,2024-06-19t12:16:25.045623,5,thank you for making our day so special! truly memorable.
1057,birthday,package10050,"n,o",friends,indoor,311,10198,10020,pending,2024-09-26t12:29:25.045623,delhi,2023-08-16t13:02:25.045623,2024-04-14t17:22:25.045623,9,53138,no,"owing to budget constraints, the guest list drastically changed.
note: due to scheduling conflicts.",2025-05-23t01:40:25.045623,2023-06-30t09:25:25.045623,2,event started on time. nothing much to complain about.
1058,wedding,package10181,"n,o",youthful,indoor,226,10161,10005,completed,2024-11-08t04:14:25.045623,delhi,2023-10-23t11:30:25.045623,2024-11-18t11:12:25.045623,5,31209,no,"weather conditions are not favorable, event got merged with another celebration.
note: due to unexpected personal commitments.",2024-12-14t22:11:25.045623,2024-03-20t05:38:25.045623,5,entertainment options were amazing! kids had so much fun.
1059,birthday,package10027,"n,o",family,indoor,162,10131,10125,completed,2024-06-25t11:25:25.045623,mumbai,2024-05-22t10:21:25.045623,2025-03-25t05:52:25.045623,8,52256,['overpriced for such poor execution. utterly dissatisfied.'],"venue is no longer available, the guest list drastically changed.
note: due to scheduling conflicts.",2025-02-11t03:34:25.045623,2025-04-27t12:52:25.045623,3,venue was not cleaned properly. health hazard!
1060,birthday,package10050,"n,o",youthful,outdoor,85,10097,10007,completed,2023-06-11t09:56:25.045623,hyderabad,2023-09-30t23:28:25.045623,2024-05-23t05:51:25.045623,4,23968,['professional staff and smooth coordination. loved every moment.'],"as travel plans have changed, we need to cancel the event arrangements.
note: event got postponed.",2024-05-16t03:08:25.045623,2023-06-21t08:52:25.045623,4,basic expectations met. but lacked a wow factor.
1061,wedding,package10114,"n,o",youthful,indoor,51,10109,10059,booked,2024-04-30t12:17:25.045623,delhi,2024-02-29t13:41:25.045623,2024-12-11t04:02:25.045623,10,55840,no,"weather conditions are not favorable, we will reach out when ready to rebook.",2024-01-17t13:26:25.045623,2024-01-21t14:39:25.045623,5,overpriced for such poor execution. utterly dissatisfied.
1062,birthday,no,"service10122,service10061,service10131,service10176,service10052,service10068,service10067,service10101",family,indoor,862,10112,10148,cancelled,2024-10-15t04:55:25.045623,mumbai,2024-08-31t15:22:25.045623,2024-09-14t21:42:25.045623,4,32708,['worst experience ever. regret booking with them.'],"owing to budget constraints, the guest list drastically changed.
note: as travel plans have changed.",2024-06-30t01:12:25.045623,2023-10-09t11:34:25.045623,1,"nothing extraordinary, but not bad either. guests were satisfied."
1063,wedding,no,service10072,friends,indoor,330,10078,10032,cancelled,2024-01-11t02:38:25.045623,mumbai,2025-04-05t14:06:25.045623,2025-01-18t00:02:25.045623,1,42836,no,"as travel plans have changed, a new organizer has taken over planning.
note: owing to budget constraints.",2025-05-04t04:18:25.045623,2025-03-16t00:59:25.045623,5,it was an okay event. some things could have been better.
1064,wedding,package10045,"n,o",youthful,outdoor,8,10116,10020,completed,2024-05-02t10:55:25.045623,hyderabad,2023-10-28t16:10:25.045623,2024-02-10t22:04:25.045623,9,33572,"[""dj didn't show up on time. party mood was ruined.""]","due to scheduling conflicts, details are being re-evaluated by stakeholders.
note: owing to budget constraints.",2024-05-28t17:08:25.045623,2023-12-10t10:52:25.045623,5,the event was delayed by hours. complete chaos.
1065,birthday,no,service10145,family,indoor,528,10015,10183,completed,2024-09-10t19:36:25.045623,delhi,2024-02-25t07:46:25.045623,2024-10-23t23:33:25.045623,3,76127,no,"as travel plans have changed, a reschedule might happen later.
note: due to unexpected personal commitments.",2025-02-04t23:42:25.045623,2024-01-24t19:16:25.045623,5,the team took care of every small detail. kudos to the decorators!
1066,birthday,no,"service10053,service10142,service10192,service10028,service10112,service10175,service10003,service10115,service10047",youthful,outdoor,478,10116,10096,pending,2025-03-21t00:31:25.045623,mumbai,2024-10-04t12:17:25.045623,2024-06-05t00:19:25.045623,6,50425,['event started on time. nothing much to complain about.'],"event got postponed, event got merged with another celebration.",2024-01-16t15:14:25.045623,2025-04-20t20:29:25.045623,2,dj didn't show up on time. party mood was ruined.
1067,wedding,package10076,"n,o",youthful,outdoor,234,10150,10032,pending,2024-11-26t10:43:25.045623,hyderabad,2023-06-22t06:33:25.045623,2024-03-16t20:14:25.045623,5,27048,no,"owing to budget constraints, we will reach out when ready to rebook.
note: as travel plans have changed.",2024-12-10t16:00:25.045623,2023-08-22t07:00:25.045623,1,everything was just perfect! the decorations exceeded expectations.
1068,birthday,package10161,"n,o",youthful,outdoor,272,10150,10132,cancelled,2024-03-06t04:48:25.045623,mumbai,2024-08-20t03:39:25.045623,2025-02-05t18:15:25.045623,6,19549,no,"venue is no longer available, a new organizer has taken over planning.
note: as travel plans have changed.",2024-06-26t03:08:25.045623,2023-12-02t17:19:25.045623,3,"a regular experience. not too impressed, not too upset."
1069,wedding,no,"service10040,service10118,service10154,service10121,service10087,service10182,service10114,service10160,service10195",family,outdoor,845,10018,10071,pending,2024-10-20t23:23:25.045623,mumbai,2024-10-18t11:40:25.045623,2024-12-18t17:16:25.045623,10,22616,no,"due to scheduling conflicts, we need to cancel the event arrangements.",2025-02-20t15:22:25.045623,2025-03-06t12:47:25.045623,5,thank you for making our day so special! truly memorable.
